ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F4_K058,4,58,-6.65243447335217,100.5963725700596
F4_K059,4,59,-6.712481464870092,104.87168989815856
F4_K060,4,60,-6.640938564228061,99.79796996380433
F4_K061,4,61,-6.711225262810667,104.78041440989166
F4_K062,4,62,-6.696929037142995,103.74723213164131
F4_K063,4,63,-6.711467585714564,104.79801537618776
F4_K064,4,64,-6.687423734708108,103.06593271891343
F4_K065,4,65,-6.69298582588008,103.46405469351744
F4_K066,4,66,-6.718728823924109,105.32680458920844
F4_K067,4,67,-6.7077770212283125,104.53027371682305
F4_K068,4,68,-6.727614654769005,105.9775341689537
F4_K069,4,69,-6.716065886125214,105.13257086308434
F4_K070,4,70,-6.717483633152888,105.23593619433662
F4_K071,4,71,-6.753430218278117,107.8909629597224
F4_K072,4,72,-6.747798984437624,107.47065580491258
F4_K073,4,73,-6.747508892209888,107.44904814226547
F4_K074,4,74,-6.739048427588292,106.82077362829263
F4_K075,4,75,-6.788281594526435,110.52903516243076
F4_K076,4,76,-6.731604314147998,106.27101229163468
F4_K077,4,77,-6.760780221077009,108.4420304489734
F4_K078,4,78,-6.758197836292313,108.24809579205288
F4_K079,4,79,-6.827276815337581,113.55731363923935
F4_K080,4,80,-6.768272937996723,109.00669520399168
F4_K081,4,81,-6.835627372905087,114.21650807965618
F4_K082,4,82,-6.793727910911709,110.9470817827996
F4_K083,4,83,-6.793842002945316,110.95585611026199
F4_K084,4,84,-6.786124803101991,110.36392059197156
F4_K085,4,85,-6.812642038526897,112.4112050074153
F4_K086,4,86,-6.7994285526064155,111.38634354968828
F4_K087,4,87,-6.810419542340696,112.23816695726194
F4_K088,4,88,-6.878579850761348,117.66813298443999
F4_K089,4,89,-6.824433632585919,113.33374160644247
F4_K090,4,90,-6.864642898677318,116.536889478677
F4_K091,4,91,-6.853376105294417,115.6303337735132
F4_K092,4,92,-6.813424059130086,112.47215462298027
F4_K093,4,93,-6.849940292100202,115.35528497976368
F4_K094,4,94,-6.87548484812978,117.41597101643733
F4_K095,4,95,-6.802266140188497,111.60564113674835
F4_K096,4,96,-6.871617153746166,117.10161428179921
F4_K097,4,97,-6.8278352067830825,113.60127421547057
F4_K098,4,98,-6.829986877508167,113.77082834584174
F4_K099,4,99,-6.824532977246611,113.34154609002925
F4_K100,4,100,-6.845450999400214,114.99688716834079
F5_K002,5,2,-6.280045723943337,77.71093548775828
F5_K003,5,3,-6.210970041624339,74.07783560338792
F5_K004,5,4,-6.203106929227042,73.67518787751808
F5_K005,5,5,-6.2088132950424875,73.96717621083575
F5_K006,5,6,-6.173909511649032,72.1991281998642
F5_K007,5,7,-6.157064077316224,71.36100742812248
F5_K008,5,8,-6.158716773775374,71.44280272057402
